weekday,hour,dteday,sum_cnt,mean_cnt,min_cnt,max_cnt,std_cnt
Sunday,0,2012-02-05,61,61.0,61,61,
Sunday,0,2012-02-12,21,21.0,21,21,
Sunday,0,2012-02-19,74,74.0,74,74,
Sunday,0,2012-02-26,70,70.0,70,70,
Sunday,0,2012-03-04,72,72.0,72,72,
Sunday,0,2012-03-11,69,69.0,69,69,
Sunday,0,2012-03-18,107,107.0,107,107,
Sunday,0,2012-03-25,80,80.0,80,80,
Sunday,0,2012-04-01,67,67.0,67,67,
Sunday,0,2012-04-08,85,85.0,85,85,
Sunday,0,2012-04-15,124,124.0,124,124,
Sunday,0,2012-04-22,117,117.0,117,117,
Sunday,0,2012-04-29,36,36.0,36,36,
Sunday,0,2012-05-06,134,134.0,134,134,
Sunday,0,2012-05-13,98,98.0,98,98,
Sunday,0,2012-05-20,170,170.0,170,170,
Sunday,0,2012-05-27,137,137.0,137,137,
Sunday,0,2012-06-03,169,169.0,169,169,
Sunday,0,2012-06-10,158,158.0,158,158,
Sunday,0,2012-06-17,148,148.0,148,148,
Sunday,0,2012-06-24,163,163.0,163,163,
Sunday,0,2012-07-01,149,149.0,149,149,
Sunday,0,2012-07-08,147,147.0,147,147,
Sunday,0,2012-07-15,187,187.0,187,187,
Sunday,0,2012-07-22,113,113.0,113,113,
Sunday,0,2012-07-29,188,188.0,188,188,
Sunday,0,2012-08-05,153,153.0,153,153,
Sunday,0,2012-08-12,120,120.0,120,120,
Sunday,0,2012-08-19,187,187.0,187,187,
Sunday,0,2012-08-26,134,134.0,134,134,
Sunday,0,2012-09-02,99,99.0,99,99,
Sunday,0,2012-09-09,124,124.0,124,124,
Sunday,0,2012-09-16,151,151.0,151,151,
Sunday,0,2012-09-23,180,180.0,180,180,
Sunday,0,2012-09-30,147,147.0,147,147,
Sunday,0,2012-10-07,127,127.0,127,127,
Sunday,0,2012-10-14,111,111.0,111,111,
Sunday,0,2012-10-21,154,154.0,154,154,
Sunday,0,2012-10-28,117,117.0,117,117,
Sunday,0,2012-11-04,102,102.0,102,102,
Sunday,0,2012-11-11,124,124.0,124,124,
Sunday,0,2012-11-18,129,129.0,129,129,
Sunday,0,2012-11-25,34,34.0,34,34,
Sunday,0,2012-12-02,117,117.0,117,117,
Sunday,0,2012-12-09,118,118.0,118,118,
Sunday,0,2012-12-16,110,110.0,110,110,
Sunday,0,2012-12-23,27,27.0,27,27,
Sunday,0,2012-12-30,41,41.0,41,41,
Sunday,1,2011-01-02,17,17.0,17,17,
Sunday,1,2011-01-09,12,12.0,12,12,
Sunday,1,2011-01-16,23,23.0,23,23,
Sunday,1,2011-01-23,13,13.0,13,13,
Sunday,1,2011-01-30,29,29.0,29,29,
Sunday,1,2011-02-06,44,44.0,44,44,
Sunday,1,2011-02-13,24,24.0,24,24,
Sunday,1,2011-02-20,16,16.0,16,16,
Sunday,1,2011-02-27,37,37.0,37,37,
Sunday,1,2011-03-06,39,39.0,39,39,
Sunday,1,2011-03-13,33,33.0,33,33,
Sunday,1,2011-03-20,24,24.0,24,24,
Sunday,1,2011-03-27,20,20.0,20,20,
Sunday,1,2011-04-03,34,34.0,34,34,
Sunday,1,2011-04-10,37,37.0,37,37,
Sunday,1,2011-04-17,31,31.0,31,31,
Sunday,1,2011-04-24,54,54.0,54,54,
Sunday,1,2011-05-01,59,59.0,59,59,
Sunday,1,2011-05-08,64,64.0,64,64,
Sunday,1,2011-05-15,47,47.0,47,47,
Sunday,1,2011-05-22,98,98.0,98,98,
Sunday,1,2011-05-29,66,66.0,66,66,
Sunday,1,2011-06-05,96,96.0,96,96,
Sunday,1,2011-06-12,93,93.0,93,93,
Sunday,1,2011-06-19,76,76.0,76,76,
Sunday,1,2011-06-26,90,90.0,90,90,
Sunday,1,2011-07-03,78,78.0,78,78,
Sunday,1,2011-07-10,113,113.0,113,113,
Sunday,1,2011-07-17,102,102.0,102,102,
Sunday,1,2011-07-24,96,96.0,96,96,
Sunday,1,2011-07-31,79,79.0,79,79,
Sunday,1,2011-08-07,73,73.0,73,73,
Sunday,1,2011-08-14,73,73.0,73,73,
Sunday,1,2011-08-21,86,86.0,86,86,
Sunday,1,2011-09-04,75,75.0,75,75,
Sunday,1,2011-09-11,88,88.0,88,88,
Sunday,1,2011-09-18,79,79.0,79,79,
Sunday,1,2011-09-25,124,124.0,124,124,
Sunday,1,2011-10-02,24,24.0,24,24,
Sunday,1,2011-10-09,78,78.0,78,78,
Sunday,1,2011-10-16,77,77.0,77,77,
Sunday,1,2011-10-23,71,71.0,71,71,
Sunday,1,2011-10-30,43,43.0,43,43,
Sunday,1,2011-11-06,115,115.0,115,115,
Sunday,1,2011-11-13,71,71.0,71,71,
Sunday,1,2011-11-20,84,84.0,84,84,
Sunday,1,2011-11-27,44,44.0,44,44,
Sunday,1,2011-12-04,74,74.0,74,74,
Sunday,1,2011-12-11,62,62.0,62,62,
Sunday,1,2011-12-18,46,46.0,46,46,
Sunday,1,2011-12-25,4,4.0,4,4,
Sunday,1,2012-01-01,93,93.0,93,93,
Sunday,1,2012-01-08,72,72.0,72,72,
Sunday,1,2012-01-15,42,42.0,42,42,
Sunday,1,2012-01-22,50,50.0,50,50,
Sunday,1,2012-01-29,73,73.0,73,73,
Sunday,1,2012-02-05,51,51.0,51,51,
Sunday,1,2012-02-12,24,24.0,24,24,
Sunday,1,2012-02-19,72,72.0,72,72,
Sunday,1,2012-02-26,55,55.0,55,55,
Sunday,1,2012-03-04,76,76.0,76,76,
Sunday,1,2012-03-11,61,61.0,61,61,
Sunday,1,2012-03-18,113,113.0,113,113,
Sunday,1,2012-03-25,89,89.0,89,89,
Sunday,1,2012-04-01,62,62.0,62,62,
Sunday,1,2012-04-08,64,64.0,64,64,
Sunday,1,2012-04-15,106,106.0,106,106,
Sunday,1,2012-04-22,73,73.0,73,73,
Sunday,1,2012-04-29,42,42.0,42,42,
Sunday,1,2012-05-06,121,121.0,121,121,
Sunday,1,2012-05-13,94,94.0,94,94,
Sunday,1,2012-05-20,130,130.0,130,130,
Sunday,1,2012-05-27,78,78.0,78,78,
Sunday,1,2012-06-03,121,121.0,121,121,
Sunday,1,2012-06-10,116,116.0,116,116,
Sunday,1,2012-06-17,88,88.0,88,88,
Sunday,1,2012-06-24,127,127.0,127,127,
Sunday,1,2012-07-01,93,93.0,93,93,
Sunday,1,2012-07-08,124,124.0,124,124,
Sunday,1,2012-07-15,168,168.0,168,168,
Sunday,1,2012-07-22,130,130.0,130,130,
Sunday,1,2012-07-29,158,158.0,158,158,
Sunday,1,2012-08-05,87,87.0,87,87,
Sunday,1,2012-08-12,113,113.0,113,113,
Sunday,1,2012-08-19,131,131.0,131,131,
Sunday,1,2012-08-26,134,134.0,134,134,
Sunday,1,2012-09-02,73,73.0,73,73,
Sunday,1,2012-09-09,124,124.0,124,124,
Sunday,1,2012-09-16,117,117.0,117,117,
Sunday,1,2012-09-23,142,142.0,142,142,
Sunday,1,2012-09-30,116,116.0,116,116,
Sunday,1,2012-10-07,109,109.0,109,109,
Sunday,1,2012-10-14,112,112.0,112,112,
Sunday,1,2012-10-21,117,117.0,117,117,
Sunday,1,2012-10-28,133,133.0,133,133,
Sunday,1,2012-11-04,165,165.0,165,165,
Sunday,1,2012-11-11,108,108.0,108,108,
Sunday,1,2012-11-18,95,95.0,95,95,
Sunday,1,2012-11-25,36,36.0,36,36,
Sunday,1,2012-12-02,94,94.0,94,94,
Sunday,1,2012-12-09,102,102.0,102,102,
Sunday,1,2012-12-16,96,96.0,96,96,
Sunday,1,2012-12-23,20,20.0,20,20,
Sunday,1,2012-12-30,28,28.0,28,28,
Sunday,2,2011-01-02,9,9.0,9,9,
Sunday,2,2011-01-09,11,11.0,11,11,
Sunday,2,2011-01-16,16,16.0,16,16,
Sunday,2,2011-01-23,18,18.0,18,18,
Sunday,2,2011-01-30,11,11.0,11,11,
Sunday,2,2011-02-06,20,20.0,20,20,
Sunday,2,2011-02-13,20,20.0,20,20,
Sunday,2,2011-02-20,17,17.0,17,17,
Sunday,2,2011-02-27,22,22.0,22,22,
Sunday,2,2011-03-06,32,32.0,32,32,
Sunday,2,2011-03-20,30,30.0,30,30,
Sunday,2,2011-03-27,21,21.0,21,21,
Sunday,2,2011-04-03,24,24.0,24,24,
Sunday,2,2011-04-10,36,36.0,36,36,
Sunday,2,2011-04-17,29,29.0,29,29,
Sunday,2,2011-04-24,72,72.0,72,72,
Sunday,2,2011-05-01,50,50.0,50,50,
Sunday,2,2011-05-08,59,59.0,59,59,
Sunday,2,2011-05-15,50,50.0,50,50,
Sunday,2,2011-05-22,68,68.0,68,68,
Sunday,2,2011-05-29,61,61.0,61,61,
Sunday,2,2011-06-05,64,64.0,64,64,
Sunday,2,2011-06-12,66,66.0,66,66,
Sunday,2,2011-06-19,72,72.0,72,72,
Sunday,2,2011-06-26,87,87.0,87,87,
Sunday,2,2011-07-03,69,69.0,69,69,
Sunday,2,2011-07-10,96,96.0,96,96,
Sunday,2,2011-07-17,94,94.0,94,94,
Sunday,2,2011-07-24,60,60.0,60,60,
Sunday,2,2011-07-31,67,67.0,67,67,
Sunday,2,2011-08-07,66,66.0,66,66,
Sunday,2,2011-08-14,62,62.0,62,62,
Sunday,2,2011-08-21,64,64.0,64,64,
Sunday,2,2011-09-04,60,60.0,60,60,
Sunday,2,2011-09-11,76,76.0,76,76,
Sunday,2,2011-09-18,89,89.0,89,89,
Sunday,2,2011-09-25,106,106.0,106,106,
Sunday,2,2011-10-02,30,30.0,30,30,
Sunday,2,2011-10-09,55,55.0,55,55,
Sunday,2,2011-10-16,65,65.0,65,65,
Sunday,2,2011-10-23,50,50.0,50,50,
Sunday,2,2011-10-30,50,50.0,50,50,
Sunday,2,2011-11-06,29,29.0,29,29,
Sunday,2,2011-11-13,57,57.0,57,57,
Sunday,2,2011-11-20,56,56.0,56,56,
Sunday,2,2011-11-27,31,31.0,31,31,
Sunday,2,2011-12-04,62,62.0,62,62,
Sunday,2,2011-12-11,52,52.0,52,52,
Sunday,2,2011-12-18,41,41.0,41,41,
Sunday,2,2011-12-25,2,2.0,2,2,
Sunday,2,2012-01-01,75,75.0,75,75,
Sunday,2,2012-01-08,67,67.0,67,67,
Sunday,2,2012-01-15,43,43.0,43,43,
Sunday,2,2012-01-22,47,47.0,47,47,
Sunday,2,2012-01-29,51,51.0,51,51,
Sunday,2,2012-02-05,63,63.0,63,63,
Sunday,2,2012-02-12,27,27.0,27,27,
Sunday,2,2012-02-19,48,48.0,48,48,
Sunday,2,2012-02-26,42,42.0,42,42,
Sunday,2,2012-03-04,80,80.0,80,80,
Sunday,2,2012-03-18,56,56.0,56,56,
Sunday,2,2012-03-25,35,35.0,35,35,
Sunday,2,2012-04-01,81,81.0,81,81,
Sunday,2,2012-04-08,32,32.0,32,32,
Sunday,2,2012-04-15,74,74.0,74,74,
Sunday,2,2012-04-22,56,56.0,56,56,
Sunday,2,2012-04-29,40,40.0,40,40,
Sunday,2,2012-05-06,93,93.0,93,93,
Sunday,2,2012-05-13,82,82.0,82,82,
Sunday,2,2012-05-20,98,98.0,98,98,
Sunday,2,2012-05-27,61,61.0,61,61,
Sunday,2,2012-06-03,89,89.0,89,89,
Sunday,2,2012-06-10,73,73.0,73,73,
Sunday,2,2012-06-17,74,74.0,74,74,
Sunday,2,2012-06-24,114,114.0,114,114,
Sunday,2,2012-07-01,90,90.0,90,90,
Sunday,2,2012-07-08,70,70.0,70,70,
Sunday,2,2012-07-15,115,115.0,115,115,
Sunday,2,2012-07-22,122,122.0,122,122,
Sunday,2,2012-07-29,112,112.0,112,112,
Sunday,2,2012-08-05,73,73.0,73,73,
Sunday,2,2012-08-12,86,86.0,86,86,
Sunday,2,2012-08-19,119,119.0,119,119,
Sunday,2,2012-08-26,116,116.0,116,116,
Sunday,2,2012-09-02,84,84.0,84,84,
Sunday,2,2012-09-09,96,96.0,96,96,
Sunday,2,2012-09-16,89,89.0,89,89,
Sunday,2,2012-09-23,95,95.0,95,95,
Sunday,2,2012-09-30,92,92.0,92,92,
Sunday,2,2012-10-07,74,74.0,74,74,
Sunday,2,2012-10-14,66,66.0,66,66,
Sunday,2,2012-10-21,132,132.0,132,132,
Sunday,2,2012-10-28,116,116.0,116,116,
Sunday,2,2012-11-04,37,37.0,37,37,
Sunday,2,2012-11-11,70,70.0,70,70,
Sunday,2,2012-11-18,73,73.0,73,73,
Sunday,2,2012-11-25,28,28.0,28,28,
Sunday,2,2012-12-02,74,74.0,74,74,
Sunday,2,2012-12-09,78,78.0,78,78,
Sunday,2,2012-12-16,87,87.0,87,87,
Sunday,2,2012-12-23,18,18.0,18,18,
Sunday,2,2012-12-30,19,19.0,19,19,
Sunday,3,2011-01-02,6,6.0,6,6,
Sunday,3,2011-01-09,4,4.0,4,4,
Sunday,3,2011-01-16,15,15.0,15,15,
Sunday,3,2011-01-23,5,5.0,5,5,
Sunday,3,2011-01-30,8,8.0,8,8,
Sunday,3,2011-02-06,13,13.0,13,13,
Sunday,3,2011-02-13,12,12.0,12,12,
Sunday,3,2011-02-20,18,18.0,18,18,
Sunday,3,2011-02-27,11,11.0,11,11,
Sunday,3,2011-03-06,11,11.0,11,11,
Sunday,3,2011-03-13,23,23.0,23,23,
Sunday,3,2011-03-20,12,12.0,12,12,
Sunday,3,2011-03-27,14,14.0,14,14,
Sunday,3,2011-04-03,11,11.0,11,11,
Sunday,3,2011-04-10,16,16.0,16,16,
Sunday,3,2011-04-17,25,25.0,25,25,
Sunday,3,2011-04-24,24,24.0,24,24,
Sunday,3,2011-05-01,23,23.0,23,23,
Sunday,3,2011-05-08,31,31.0,31,31,
Sunday,3,2011-05-15,32,32.0,32,32,
Sunday,3,2011-05-22,33,33.0,33,33,
Sunday,3,2011-05-29,26,26.0,26,26,
Sunday,3,2011-06-05,47,47.0,47,47,
Sunday,3,2011-06-12,28,28.0,28,28,
Sunday,3,2011-06-19,30,30.0,30,30,
Sunday,3,2011-06-26,34,34.0,34,34,
Sunday,3,2011-07-03,33,33.0,33,33,
Sunday,3,2011-07-10,25,25.0,25,25,
Sunday,3,2011-07-17,47,47.0,47,47,
Sunday,3,2011-07-24,37,37.0,37,37,
Sunday,3,2011-07-31,50,50.0,50,50,
Sunday,3,2011-08-07,32,32.0,32,32,
Sunday,3,2011-08-14,27,27.0,27,27,
Sunday,3,2011-08-21,51,51.0,51,51,
Sunday,3,2011-09-04,43,43.0,43,43,
Sunday,3,2011-09-11,45,45.0,45,45,
Sunday,3,2011-09-18,36,36.0,36,36,
Sunday,3,2011-09-25,59,59.0,59,59,
Sunday,3,2011-10-02,9,9.0,9,9,
Sunday,3,2011-10-09,30,30.0,30,30,
Sunday,3,2011-10-16,42,42.0,42,42,
Sunday,3,2011-10-23,46,46.0,46,46,
Sunday,3,2011-10-30,33,33.0,33,33,
Sunday,3,2011-11-06,9,9.0,9,9,
Sunday,3,2011-11-13,28,28.0,28,28,
Sunday,3,2011-11-20,37,37.0,37,37,
Sunday,3,2011-11-27,17,17.0,17,17,
Sunday,3,2011-12-04,41,41.0,41,41,
Sunday,3,2011-12-11,19,19.0,19,19,
Sunday,3,2011-12-18,18,18.0,18,18,
Sunday,3,2011-12-25,4,4.0,4,4,
Sunday,3,2012-01-01,52,52.0,52,52,
Sunday,3,2012-01-08,32,32.0,32,32,
Sunday,3,2012-01-15,25,25.0,25,25,
Sunday,3,2012-01-22,21,21.0,21,21,
Sunday,3,2012-01-29,21,21.0,21,21,
Sunday,3,2012-02-05,17,17.0,17,17,
Sunday,3,2012-02-12,14,14.0,14,14,
Sunday,3,2012-02-19,15,15.0,15,15,
Sunday,3,2012-02-26,21,21.0,21,21,
Sunday,3,2012-03-04,26,26.0,26,26,
Sunday,3,2012-03-11,66,66.0,66,66,
Sunday,3,2012-03-18,18,18.0,18,18,
Sunday,3,2012-03-25,18,18.0,18,18,
Sunday,3,2012-04-01,25,25.0,25,25,
Sunday,3,2012-04-08,26,26.0,26,26,
Sunday,3,2012-04-15,45,45.0,45,45,
Sunday,3,2012-04-22,40,40.0,40,40,
Sunday,3,2012-04-29,16,16.0,16,16,
Sunday,3,2012-05-06,28,28.0,28,28,
Sunday,3,2012-05-13,28,28.0,28,28,
Sunday,3,2012-05-20,66,66.0,66,66,
Sunday,3,2012-05-27,36,36.0,36,36,
Sunday,3,2012-06-03,50,50.0,50,50,
Sunday,3,2012-06-10,29,29.0,29,29,
Sunday,3,2012-06-17,28,28.0,28,28,
Sunday,3,2012-06-24,60,60.0,60,60,
Sunday,3,2012-07-01,33,33.0,33,33,
Sunday,3,2012-07-08,35,35.0,35,35,
Sunday,3,2012-07-15,57,57.0,57,57,
Sunday,3,2012-07-22,43,43.0,43,43,
Sunday,3,2012-07-29,55,55.0,55,55,
Sunday,3,2012-08-05,41,41.0,41,41,
Sunday,3,2012-08-12,48,48.0,48,48,
Sunday,3,2012-08-19,55,55.0,55,55,
Sunday,3,2012-08-26,53,53.0,53,53,
Sunday,3,2012-09-02,42,42.0,42,42,
Sunday,3,2012-09-09,46,46.0,46,46,
Sunday,3,2012-09-16,48,48.0,48,48,
Sunday,3,2012-09-23,54,54.0,54,54,
Sunday,3,2012-09-30,58,58.0,58,58,
Sunday,3,2012-10-07,22,22.0,22,22,
Sunday,3,2012-10-14,28,28.0,28,28,
Sunday,3,2012-10-21,41,41.0,41,41,
Sunday,3,2012-10-28,79,79.0,79,79,
Sunday,3,2012-11-04,11,11.0,11,11,
Sunday,3,2012-11-11,48,48.0,48,48,
Sunday,3,2012-11-18,46,46.0,46,46,
Sunday,3,2012-11-25,8,8.0,8,8,
Sunday,3,2012-12-02,25,25.0,25,25,
Sunday,3,2012-12-09,48,48.0,48,48,
Sunday,3,2012-12-16,38,38.0,38,38,
Sunday,3,2012-12-23,9,9.0,9,9,
Sunday,3,2012-12-30,15,15.0,15,15,
Sunday,4,2011-01-02,3,3.0,3,3,
Sunday,4,2011-01-09,1,1.0,1,1,
Sunday,4,2011-01-16,1,1.0,1,1,
Sunday,4,2011-01-30,1,1.0,1,1,
Sunday,4,2011-02-06,2,2.0,2,2,
Sunday,4,2011-02-13,2,2.0,2,2,
Sunday,4,2011-02-20,1,1.0,1,1,
Sunday,4,2011-02-27,2,2.0,2,2,
Sunday,4,2011-03-06,3,3.0,3,3,
Sunday,4,2011-03-13,13,13.0,13,13,
Sunday,4,2011-03-20,3,3.0,3,3,
Sunday,4,2011-03-27,6,6.0,6,6,
Sunday,4,2011-04-03,3,3.0,3,3,
Sunday,4,2011-04-10,5,5.0,5,5,
Sunday,4,2011-04-17,7,7.0,7,7,
Sunday,4,2011-04-24,5,5.0,5,5,
Sunday,4,2011-05-01,17,17.0,17,17,
Sunday,4,2011-05-08,10,10.0,10,10,
Sunday,4,2011-05-15,13,13.0,13,13,
Sunday,4,2011-05-22,12,12.0,12,12,
Sunday,4,2011-05-29,23,23.0,23,23,
Sunday,4,2011-06-05,12,12.0,12,12,
Sunday,4,2011-06-12,14,14.0,14,14,
Sunday,4,2011-06-19,17,17.0,17,17,
Sunday,4,2011-06-26,11,11.0,11,11,
Sunday,4,2011-07-03,5,5.0,5,5,
Sunday,4,2011-07-10,5,5.0,5,5,
Sunday,4,2011-07-17,10,10.0,10,10,
Sunday,4,2011-07-24,6,6.0,6,6,
Sunday,4,2011-07-31,13,13.0,13,13,
Sunday,4,2011-08-07,6,6.0,6,6,
Sunday,4,2011-08-14,3,3.0,3,3,
Sunday,4,2011-08-21,6,6.0,6,6,
Sunday,4,2011-09-04,4,4.0,4,4,
Sunday,4,2011-09-11,9,9.0,9,9,
Sunday,4,2011-09-18,1,1.0,1,1,
Sunday,4,2011-09-25,8,8.0,8,8,
Sunday,4,2011-10-02,7,7.0,7,7,
Sunday,4,2011-10-09,14,14.0,14,14,
Sunday,4,2011-10-16,12,12.0,12,12,
Sunday,4,2011-10-23,6,6.0,6,6,
Sunday,4,2011-10-30,11,11.0,11,11,
Sunday,4,2011-11-06,6,6.0,6,6,
Sunday,4,2011-11-13,6,6.0,6,6,
Sunday,4,2011-11-20,12,12.0,12,12,
Sunday,4,2011-11-27,4,4.0,4,4,
Sunday,4,2011-12-04,11,11.0,11,11,
Sunday,4,2011-12-11,5,5.0,5,5,
Sunday,4,2011-12-18,1,1.0,1,1,
Sunday,4,2012-01-01,8,8.0,8,8,
Sunday,4,2012-01-08,6,6.0,6,6,
Sunday,4,2012-01-15,6,6.0,6,6,
Sunday,4,2012-01-22,2,2.0,2,2,
Sunday,4,2012-01-29,5,5.0,5,5,
Sunday,4,2012-02-05,9,9.0,9,9,
Sunday,4,2012-02-12,1,1.0,1,1,
Sunday,4,2012-02-19,3,3.0,3,3,
Sunday,4,2012-02-26,6,6.0,6,6,
Sunday,4,2012-03-04,14,14.0,14,14,
Sunday,4,2012-03-11,22,22.0,22,22,
Sunday,4,2012-03-18,14,14.0,14,14,
Sunday,4,2012-03-25,8,8.0,8,8,
Sunday,4,2012-04-01,12,12.0,12,12,
Sunday,4,2012-04-08,7,7.0,7,7,
Sunday,4,2012-04-15,12,12.0,12,12,
Sunday,4,2012-04-22,7,7.0,7,7,
Sunday,4,2012-04-29,4,4.0,4,4,
Sunday,4,2012-05-06,16,16.0,16,16,
Sunday,4,2012-05-13,9,9.0,9,9,
Sunday,4,2012-05-20,16,16.0,16,16,
Sunday,4,2012-05-27,11,11.0,11,11,
Sunday,4,2012-06-03,13,13.0,13,13,
Sunday,4,2012-06-10,10,10.0,10,10,
Sunday,4,2012-06-17,18,18.0,18,18,
Sunday,4,2012-06-24,13,13.0,13,13,
Sunday,4,2012-07-01,4,4.0,4,4,
Sunday,4,2012-07-08,13,13.0,13,13,
Sunday,4,2012-07-15,19,19.0,19,19,
Sunday,4,2012-07-22,16,16.0,16,16,
Sunday,4,2012-07-29,13,13.0,13,13,
Sunday,4,2012-08-05,14,14.0,14,14,
Sunday,4,2012-08-12,10,10.0,10,10,
Sunday,4,2012-08-19,26,26.0,26,26,
Sunday,4,2012-08-26,16,16.0,16,16,
Sunday,4,2012-09-02,22,22.0,22,22,
Sunday,4,2012-09-09,28,28.0,28,28,
Sunday,4,2012-09-16,8,8.0,8,8,
Sunday,4,2012-09-23,10,10.0,10,10,
Sunday,4,2012-09-30,7,7.0,7,7,
Sunday,4,2012-10-07,11,11.0,11,11,
Sunday,4,2012-10-14,12,12.0,12,12,
Sunday,4,2012-10-21,21,21.0,21,21,
Sunday,4,2012-10-28,20,20.0,20,20,
Sunday,4,2012-11-04,9,9.0,9,9,
Sunday,4,2012-11-11,11,11.0,11,11,
Sunday,4,2012-11-18,12,12.0,12,12,
Sunday,4,2012-11-25,2,2.0,2,2,
Sunday,4,2012-12-02,7,7.0,7,7,
Sunday,4,2012-12-09,12,12.0,12,12,
Sunday,4,2012-12-16,11,11.0,11,11,
Sunday,4,2012-12-23,4,4.0,4,4,
Sunday,4,2012-12-30,7,7.0,7,7,
Sunday,5,2011-01-09,1,1.0,1,1,
Sunday,5,2011-01-16,2,2.0,2,2,
Sunday,5,2011-01-23,3,3.0,3,3,
Sunday,5,2011-01-30,3,3.0,3,3,
Sunday,5,2011-02-06,1,1.0,1,1,
Sunday,5,2011-03-13,3,3.0,3,3,
Sunday,5,2011-03-20,9,9.0,9,9,
Sunday,5,2011-04-03,5,5.0,5,5,
Sunday,5,2011-04-10,4,4.0,4,4,
Sunday,5,2011-04-17,3,3.0,3,3,
Sunday,5,2011-04-24,12,12.0,12,12,
Sunday,5,2011-05-01,10,10.0,10,10,
Sunday,5,2011-05-08,5,5.0,5,5,
Sunday,5,2011-05-15,14,14.0,14,14,
Sunday,5,2011-05-22,6,6.0,6,6,
Sunday,5,2011-05-29,6,6.0,6,6,
Sunday,5,2011-06-05,6,6.0,6,6,
Sunday,5,2011-06-12,10,10.0,10,10,
Sunday,5,2011-06-19,19,19.0,19,19,
Sunday,5,2011-06-26,12,12.0,12,12,
Sunday,5,2011-07-03,1,1.0,1,1,
Sunday,5,2011-07-10,17,17.0,17,17,
Sunday,5,2011-07-17,12,12.0,12,12,
Sunday,5,2011-07-24,8,8.0,8,8,
Sunday,5,2011-07-31,8,8.0,8,8,
Sunday,5,2011-08-07,5,5.0,5,5,
Sunday,5,2011-08-14,10,10.0,10,10,
Sunday,5,2011-08-21,8,8.0,8,8,
Sunday,5,2011-09-04,6,6.0,6,6,
Sunday,5,2011-09-11,39,39.0,39,39,
Sunday,5,2011-09-18,6,6.0,6,6,
Sunday,5,2011-09-25,3,3.0,3,3,
Sunday,5,2011-10-02,7,7.0,7,7,
Sunday,5,2011-10-09,15,15.0,15,15,
Sunday,5,2011-10-16,7,7.0,7,7,
Sunday,5,2011-10-23,3,3.0,3,3,
Sunday,5,2011-10-30,4,4.0,4,4,
Sunday,5,2011-11-06,5,5.0,5,5,
Sunday,5,2011-11-13,5,5.0,5,5,
Sunday,5,2011-11-20,4,4.0,4,4,
