day_type,hour,dteday,sum_cnt,mean_cnt,min_cnt,max_cnt
Weekday,0,2011-03-30,11,11.0,11,11
Weekday,0,2011-03-31,3,3.0,3,3
Weekday,0,2011-04-01,6,6.0,6,6
Weekday,0,2011-04-04,6,6.0,6,6
Weekday,0,2011-04-05,22,22.0,22,22
Weekday,0,2011-04-06,15,15.0,15,15
Weekday,0,2011-04-07,20,20.0,20,20
Weekday,0,2011-04-08,25,25.0,25,25
Weekday,0,2011-04-11,23,23.0,23,23
Weekday,0,2011-04-12,24,24.0,24,24
Weekday,0,2011-04-13,15,15.0,15,15
Weekday,0,2011-04-14,21,21.0,21,21
Weekday,0,2011-04-15,27,27.0,27,27
Weekday,0,2011-04-18,39,39.0,39,39
Weekday,0,2011-04-19,25,25.0,25,25
Weekday,0,2011-04-20,33,33.0,33,33
Weekday,0,2011-04-21,44,44.0,44,44
Weekday,0,2011-04-22,33,33.0,33,33
Weekday,0,2011-04-25,12,12.0,12,12
Weekday,0,2011-04-26,27,27.0,27,27
Weekday,0,2011-04-27,27,27.0,27,27
Weekday,0,2011-04-28,54,54.0,54,54
Weekday,0,2011-04-29,48,48.0,48,48
Weekday,0,2011-05-02,177,177.0,177,177
Weekday,0,2011-05-03,16,16.0,16,16
Weekday,0,2011-05-04,27,27.0,27,27
Weekday,0,2011-05-05,27,27.0,27,27
Weekday,0,2011-05-06,56,56.0,56,56
Weekday,0,2011-05-09,53,53.0,53,53
Weekday,0,2011-05-10,18,18.0,18,18
Weekday,0,2011-05-11,38,38.0,38,38
Weekday,0,2011-05-12,44,44.0,44,44
Weekday,0,2011-05-13,52,52.0,52,52
Weekday,0,2011-05-16,38,38.0,38,38
Weekday,0,2011-05-17,31,31.0,31,31
Weekday,0,2011-05-18,23,23.0,23,23
Weekday,0,2011-05-19,29,29.0,29,29
Weekday,0,2011-05-20,48,48.0,48,48
Weekday,0,2011-05-23,41,41.0,41,41
Weekday,0,2011-05-24,35,35.0,35,35
Weekday,0,2011-05-25,35,35.0,35,35
Weekday,0,2011-05-26,45,45.0,45,45
Weekday,0,2011-05-27,69,69.0,69,69
Weekday,0,2011-05-30,103,103.0,103,103
Weekday,0,2011-05-31,29,29.0,29,29
Weekday,0,2011-06-01,34,34.0,34,34
Weekday,0,2011-06-02,42,42.0,42,42
Weekday,0,2011-06-03,68,68.0,68,68
Weekday,0,2011-06-06,29,29.0,29,29
Weekday,0,2011-06-07,20,20.0,20,20
Weekday,0,2011-06-08,41,41.0,41,41
Weekday,0,2011-06-09,47,47.0,47,47
Weekday,0,2011-06-10,69,69.0,69,69
Weekday,0,2011-06-13,28,28.0,28,28
Weekday,0,2011-06-14,31,31.0,31,31
Weekday,0,2011-06-15,52,52.0,52,52
Weekday,0,2011-06-16,47,47.0,47,47
Weekday,0,2011-06-17,24,24.0,24,24
Weekday,0,2011-06-20,26,26.0,26,26
Weekday,0,2011-06-21,33,33.0,33,33
Weekday,0,2011-06-22,33,33.0,33,33
Weekday,0,2011-06-23,49,49.0,49,49
Weekday,0,2011-06-24,63,63.0,63,63
Weekday,0,2011-06-27,32,32.0,32,32
Weekday,0,2011-06-28,30,30.0,30,30
Weekday,0,2011-06-29,36,36.0,36,36
Weekday,0,2011-06-30,54,54.0,54,54
Weekday,0,2011-07-01,68,68.0,68,68
Weekday,0,2011-07-04,140,140.0,140,140
Weekday,0,2011-07-05,55,55.0,55,55
Weekday,0,2011-07-06,37,37.0,37,37
Weekday,0,2011-07-07,35,35.0,35,35
Weekday,0,2011-07-08,47,47.0,47,47
Weekday,0,2011-07-11,35,35.0,35,35
Weekday,0,2011-07-12,22,22.0,22,22
Weekday,0,2011-07-13,46,46.0,46,46
Weekday,0,2011-07-14,46,46.0,46,46
Weekday,0,2011-07-15,80,80.0,80,80
Weekday,0,2011-07-18,51,51.0,51,51
Weekday,0,2011-07-19,51,51.0,51,51
Weekday,0,2011-07-20,40,40.0,40,40
Weekday,0,2011-07-21,42,42.0,42,42
Weekday,0,2011-07-22,60,60.0,60,60
Weekday,0,2011-07-25,34,34.0,34,34
Weekday,0,2011-07-26,28,28.0,28,28
Weekday,0,2011-07-27,45,45.0,45,45
Weekday,0,2011-07-28,45,45.0,45,45
Weekday,0,2011-07-29,57,57.0,57,57
Weekday,0,2011-08-01,29,29.0,29,29
Weekday,0,2011-08-02,29,29.0,29,29
Weekday,0,2011-08-03,43,43.0,43,43
Weekday,0,2011-08-04,17,17.0,17,17
Weekday,0,2011-08-05,54,54.0,54,54
Weekday,0,2011-08-08,30,30.0,30,30
Weekday,0,2011-08-09,35,35.0,35,35
Weekday,0,2011-08-10,37,37.0,37,37
Weekday,0,2011-08-11,46,46.0,46,46
Weekday,0,2011-08-12,65,65.0,65,65
Weekday,0,2011-08-15,25,25.0,25,25
Weekday,0,2011-08-16,31,31.0,31,31
Weekday,0,2011-08-17,24,24.0,24,24
Weekday,0,2011-08-18,56,56.0,56,56
Weekday,0,2011-08-19,62,62.0,62,62
Weekday,0,2011-08-22,40,40.0,40,40
Weekday,0,2011-08-23,35,35.0,35,35
Weekday,0,2011-08-24,38,38.0,38,38
Weekday,0,2011-08-25,52,52.0,52,52
Weekday,0,2011-08-26,51,51.0,51,51
Weekday,0,2011-08-29,34,34.0,34,34
Weekday,0,2011-08-30,27,27.0,27,27
Weekday,0,2011-08-31,32,32.0,32,32
Weekday,0,2011-09-01,51,51.0,51,51
Weekday,0,2011-09-02,64,64.0,64,64
Weekday,0,2011-09-05,97,97.0,97,97
Weekday,0,2011-09-06,8,8.0,8,8
Weekday,0,2011-09-07,13,13.0,13,13
Weekday,0,2011-09-08,14,14.0,14,14
Weekday,0,2011-09-09,16,16.0,16,16
Weekday,0,2011-09-12,16,16.0,16,16
Weekday,0,2011-09-13,26,26.0,26,26
Weekday,0,2011-09-14,33,33.0,33,33
Weekday,0,2011-09-15,37,37.0,37,37
Weekday,0,2011-09-16,48,48.0,48,48
Weekday,0,2011-09-19,37,37.0,37,37
Weekday,0,2011-09-20,25,25.0,25,25
Weekday,0,2011-09-21,27,27.0,27,27
Weekday,0,2011-09-22,41,41.0,41,41
Weekday,0,2011-09-23,52,52.0,52,52
Weekday,0,2011-09-26,29,29.0,29,29
Weekday,0,2011-09-27,37,37.0,37,37
Weekday,0,2011-09-28,36,36.0,36,36
Weekday,0,2011-09-29,40,40.0,40,40
Weekday,0,2011-09-30,60,60.0,60,60
Weekday,0,2011-10-03,16,16.0,16,16
Weekday,0,2011-10-04,27,27.0,27,27
Weekday,0,2011-10-05,43,43.0,43,43
Weekday,0,2011-10-06,40,40.0,40,40
Weekday,0,2011-10-07,67,67.0,67,67
Weekday,0,2011-10-10,53,53.0,53,53
Weekday,0,2011-10-11,30,30.0,30,30
Weekday,0,2011-10-12,25,25.0,25,25
Weekday,0,2011-10-13,15,15.0,15,15
Weekday,0,2011-10-14,39,39.0,39,39
Weekday,0,2011-10-17,37,37.0,37,37
Weekday,0,2011-10-18,31,31.0,31,31
Weekday,0,2011-10-19,34,34.0,34,34
Weekday,0,2011-10-20,26,26.0,26,26
Weekday,0,2011-10-21,50,50.0,50,50
Weekday,0,2011-10-24,32,32.0,32,32
Weekday,0,2011-10-25,30,30.0,30,30
Weekday,0,2011-10-26,32,32.0,32,32
Weekday,0,2011-10-27,26,26.0,26,26
Weekday,0,2011-10-28,44,44.0,44,44
Weekday,0,2011-10-31,23,23.0,23,23
Weekday,0,2011-11-01,21,21.0,21,21
Weekday,0,2011-11-02,19,19.0,19,19
Weekday,0,2011-11-03,31,31.0,31,31
Weekday,0,2011-11-04,43,43.0,43,43
Weekday,0,2011-11-07,15,15.0,15,15
Weekday,0,2011-11-08,18,18.0,18,18
Weekday,0,2011-11-09,13,13.0,13,13
Weekday,0,2011-11-10,24,24.0,24,24
Weekday,0,2011-11-11,66,66.0,66,66
Weekday,0,2011-11-14,30,30.0,30,30
Weekday,0,2011-11-15,22,22.0,22,22
Weekday,0,2011-11-16,31,31.0,31,31
Weekday,0,2011-11-17,24,24.0,24,24
Weekday,0,2011-11-18,30,30.0,30,30
Weekday,0,2011-11-21,17,17.0,17,17
Weekday,0,2011-11-22,14,14.0,14,14
Weekday,0,2011-11-23,16,16.0,16,16
Weekday,0,2011-11-24,23,23.0,23,23
Weekday,0,2011-11-25,29,29.0,29,29
Weekday,0,2011-11-28,16,16.0,16,16
Weekday,0,2011-11-29,22,22.0,22,22
Weekday,0,2011-11-30,24,24.0,24,24
Weekday,0,2011-12-01,20,20.0,20,20
Weekday,0,2011-12-02,38,38.0,38,38
Weekday,0,2011-12-05,24,24.0,24,24
Weekday,0,2011-12-06,28,28.0,28,28
Weekday,0,2011-12-07,33,33.0,33,33
Weekday,0,2011-12-08,21,21.0,21,21
Weekday,0,2011-12-09,34,34.0,34,34
Weekday,0,2011-12-12,20,20.0,20,20
Weekday,0,2011-12-13,17,17.0,17,17
Weekday,0,2011-12-14,22,22.0,22,22
Weekday,0,2011-12-15,50,50.0,50,50
Weekday,0,2011-12-16,72,72.0,72,72
Weekday,0,2011-12-19,17,17.0,17,17
Weekday,0,2011-12-20,21,21.0,21,21
Weekday,0,2011-12-21,25,25.0,25,25
Weekday,0,2011-12-22,27,27.0,27,27
Weekday,0,2011-12-23,9,9.0,9,9
Weekday,0,2011-12-26,11,11.0,11,11
Weekday,0,2011-12-27,12,12.0,12,12
Weekday,0,2011-12-28,10,10.0,10,10
Weekday,0,2011-12-29,28,28.0,28,28
Weekday,0,2011-12-30,30,30.0,30,30
Weekday,0,2012-01-02,39,39.0,39,39
Weekday,0,2012-01-03,13,13.0,13,13
Weekday,0,2012-01-04,9,9.0,9,9
Weekday,0,2012-01-05,14,14.0,14,14
Weekday,0,2012-01-06,25,25.0,25,25
Weekday,0,2012-01-09,15,15.0,15,15
Weekday,0,2012-01-10,14,14.0,14,14
Weekday,0,2012-01-11,28,28.0,28,28
Weekday,0,2012-01-12,3,3.0,3,3
Weekday,0,2012-01-13,42,42.0,42,42
Weekday,0,2012-01-16,25,25.0,25,25
Weekday,0,2012-01-17,12,12.0,12,12
Weekday,0,2012-01-18,17,17.0,17,17
Weekday,0,2012-01-19,16,16.0,16,16
Weekday,0,2012-01-20,27,27.0,27,27
Weekday,0,2012-01-23,19,19.0,19,19
Weekday,0,2012-01-24,25,25.0,25,25
Weekday,0,2012-01-25,31,31.0,31,31
Weekday,0,2012-01-26,25,25.0,25,25
Weekday,0,2012-01-27,38,38.0,38,38
Weekday,0,2012-01-30,10,10.0,10,10
Weekday,0,2012-01-31,15,15.0,15,15
Weekday,0,2012-02-01,31,31.0,31,31
Weekday,0,2012-02-02,31,31.0,31,31
Weekday,0,2012-02-03,38,38.0,38,38
Weekday,0,2012-02-06,21,21.0,21,21
Weekday,0,2012-02-07,23,23.0,23,23
Weekday,0,2012-02-08,23,23.0,23,23
Weekday,0,2012-02-09,26,26.0,26,26
Weekday,0,2012-02-10,43,43.0,43,43
Weekday,0,2012-02-13,9,9.0,9,9
Weekday,0,2012-02-14,14,14.0,14,14
Weekday,0,2012-02-15,22,22.0,22,22
Weekday,0,2012-02-16,23,23.0,23,23
Weekday,0,2012-02-17,34,34.0,34,34
Weekday,0,2012-02-20,41,41.0,41,41
Weekday,0,2012-02-21,12,12.0,12,12
Weekday,0,2012-02-22,24,24.0,24,24
Weekday,0,2012-02-23,42,42.0,42,42
Weekday,0,2012-02-24,46,46.0,46,46
Weekday,0,2012-02-27,29,29.0,29,29
Weekday,0,2012-02-28,10,10.0,10,10
Weekday,0,2012-02-29,32,32.0,32,32
Weekday,0,2012-03-01,11,11.0,11,11
Weekday,0,2012-03-02,46,46.0,46,46
Weekday,0,2012-03-05,17,17.0,17,17
Weekday,0,2012-03-06,8,8.0,8,8
Weekday,0,2012-03-07,15,15.0,15,15
Weekday,0,2012-03-08,46,46.0,46,46
Weekday,0,2012-03-09,54,54.0,54,54
Weekday,0,2012-03-12,24,24.0,24,24
Weekday,0,2012-03-13,26,26.0,26,26
Weekday,0,2012-03-14,39,39.0,39,39
Weekday,0,2012-03-15,60,60.0,60,60
Weekday,0,2012-03-16,57,57.0,57,57
Weekday,0,2012-03-19,23,23.0,23,23
Weekday,0,2012-03-20,29,29.0,29,29
Weekday,0,2012-03-21,33,33.0,33,33
Weekday,0,2012-03-22,41,41.0,41,41
Weekday,0,2012-03-23,95,95.0,95,95
Weekday,0,2012-03-26,33,33.0,33,33
Weekday,0,2012-03-27,10,10.0,10,10
Weekday,0,2012-03-28,30,30.0,30,30
Weekday,0,2012-03-29,48,48.0,48,48
Weekday,0,2012-03-30,59,59.0,59,59
Weekday,0,2012-04-02,17,17.0,17,17
Weekday,0,2012-04-03,33,33.0,33,33
Weekday,0,2012-04-04,41,41.0,41,41
Weekday,0,2012-04-05,45,45.0,45,45
Weekday,0,2012-04-06,61,61.0,61,61
Weekday,0,2012-04-09,37,37.0,37,37
Weekday,0,2012-04-10,26,26.0,26,26
Weekday,0,2012-04-11,30,30.0,30,30
Weekday,0,2012-04-12,23,23.0,23,23
Weekday,0,2012-04-13,55,55.0,55,55
Weekday,0,2012-04-16,41,41.0,41,41
Weekday,0,2012-04-17,43,43.0,43,43
Weekday,0,2012-04-18,38,38.0,38,38
Weekday,0,2012-04-19,25,25.0,25,25
Weekday,0,2012-04-20,64,64.0,64,64
Weekday,0,2012-04-23,6,6.0,6,6
Weekday,0,2012-04-24,13,13.0,13,13
Weekday,0,2012-04-25,36,36.0,36,36
Weekday,0,2012-04-26,43,43.0,43,43
Weekday,0,2012-04-27,73,73.0,73,73
Weekday,0,2012-04-30,48,48.0,48,48
Weekday,0,2012-05-01,35,35.0,35,35
Weekday,0,2012-05-02,47,47.0,47,47
Weekday,0,2012-05-03,90,90.0,90,90
Weekday,0,2012-05-04,89,89.0,89,89
Weekday,0,2012-05-07,34,34.0,34,34
Weekday,0,2012-05-08,38,38.0,38,38
Weekday,0,2012-05-09,35,35.0,35,35
Weekday,0,2012-05-10,33,33.0,33,33
Weekday,0,2012-05-11,64,64.0,64,64
Weekday,0,2012-05-14,35,35.0,35,35
Weekday,0,2012-05-15,32,32.0,32,32
Weekday,0,2012-05-16,39,39.0,39,39
Weekday,0,2012-05-17,79,79.0,79,79
Weekday,0,2012-05-18,70,70.0,70,70
Weekday,0,2012-05-21,40,40.0,40,40
Weekday,0,2012-05-22,36,36.0,36,36
Weekday,0,2012-05-23,47,47.0,47,47
Weekday,0,2012-05-24,56,56.0,56,56
Weekday,0,2012-05-25,73,73.0,73,73
Weekday,0,2012-05-28,65,65.0,65,65
Weekday,0,2012-05-29,45,45.0,45,45
Weekday,0,2012-05-30,36,36.0,36,36
Weekday,0,2012-05-31,61,61.0,61,61
Weekday,0,2012-06-01,86,86.0,86,86
Weekday,0,2012-06-04,49,49.0,49,49
Weekday,0,2012-06-05,34,34.0,34,34
Weekday,0,2012-06-06,49,49.0,49,49
Weekday,0,2012-06-07,59,59.0,59,59
Weekday,0,2012-06-08,77,77.0,77,77
Weekday,0,2012-06-11,41,41.0,41,41
Weekday,0,2012-06-12,28,28.0,28,28
Weekday,0,2012-06-13,34,34.0,34,34
Weekday,0,2012-06-14,48,48.0,48,48
Weekday,0,2012-06-15,94,94.0,94,94
Weekday,0,2012-06-18,40,40.0,40,40
Weekday,0,2012-06-19,35,35.0,35,35
Weekday,0,2012-06-20,53,53.0,53,53
Weekday,0,2012-06-21,69,69.0,69,69
Weekday,0,2012-06-22,93,93.0,93,93
Weekday,0,2012-06-25,68,68.0,68,68
Weekday,0,2012-06-26,37,37.0,37,37
Weekday,0,2012-06-27,54,54.0,54,54
Weekday,0,2012-06-28,54,54.0,54,54
Weekday,0,2012-06-29,114,114.0,114,114
Weekday,0,2012-07-02,43,43.0,43,43
Weekday,0,2012-07-03,53,53.0,53,53
Weekday,0,2012-07-04,159,159.0,159,159
Weekday,0,2012-07-05,88,88.0,88,88
Weekday,0,2012-07-06,102,102.0,102,102
Weekday,0,2012-07-09,39,39.0,39,39
Weekday,0,2012-07-10,69,69.0,69,69
Weekday,0,2012-07-11,44,44.0,44,44
Weekday,0,2012-07-12,56,56.0,56,56
Weekday,0,2012-07-13,95,95.0,95,95
Weekday,0,2012-07-16,43,43.0,43,43
Weekday,0,2012-07-17,53,53.0,53,53
Weekday,0,2012-07-18,53,53.0,53,53
Weekday,0,2012-07-19,66,66.0,66,66
Weekday,0,2012-07-20,34,34.0,34,34
Weekday,0,2012-07-23,47,47.0,47,47
Weekday,0,2012-07-24,64,64.0,64,64
Weekday,0,2012-07-25,66,66.0,66,66
Weekday,0,2012-07-26,92,92.0,92,92
Weekday,0,2012-07-27,97,97.0,97,97
Weekday,0,2012-07-30,58,58.0,58,58
Weekday,0,2012-07-31,38,38.0,38,38
Weekday,0,2012-08-01,47,47.0,47,47
Weekday,0,2012-08-02,63,63.0,63,63
Weekday,0,2012-08-03,71,71.0,71,71
Weekday,0,2012-08-06,33,33.0,33,33
Weekday,0,2012-08-07,47,47.0,47,47
Weekday,0,2012-08-08,58,58.0,58,58
Weekday,0,2012-08-09,67,67.0,67,67
Weekday,0,2012-08-10,85,85.0,85,85
Weekday,0,2012-08-13,47,47.0,47,47
Weekday,0,2012-08-14,60,60.0,60,60
Weekday,0,2012-08-15,60,60.0,60,60
Weekday,0,2012-08-16,76,76.0,76,76
Weekday,0,2012-08-17,88,88.0,88,88
Weekday,0,2012-08-20,26,26.0,26,26
Weekday,0,2012-08-21,59,59.0,59,59
Weekday,0,2012-08-22,55,55.0,55,55
Weekday,0,2012-08-23,60,60.0,60,60
Weekday,0,2012-08-24,111,111.0,111,111
Weekday,0,2012-08-27,32,32.0,32,32
Weekday,0,2012-08-28,38,38.0,38,38
Weekday,0,2012-08-29,47,47.0,47,47
Weekday,0,2012-08-30,65,65.0,65,65
Weekday,0,2012-08-31,82,82.0,82,82
Weekday,0,2012-09-03,104,104.0,104,104
Weekday,0,2012-09-04,29,29.0,29,29
Weekday,0,2012-09-05,37,37.0,37,37
Weekday,0,2012-09-06,65,65.0,65,65
Weekday,0,2012-09-07,96,96.0,96,96
Weekday,0,2012-09-10,41,41.0,41,41
Weekday,0,2012-09-11,32,32.0,32,32
Weekday,0,2012-09-12,49,49.0,49,49
Weekday,0,2012-09-13,57,57.0,57,57
Weekday,0,2012-09-14,87,87.0,87,87
Weekday,0,2012-09-17,45,45.0,45,45
Weekday,0,2012-09-18,13,13.0,13,13
Weekday,0,2012-09-19,26,26.0,26,26
Weekday,0,2012-09-20,58,58.0,58,58
Weekday,0,2012-09-21,66,66.0,66,66
Weekday,0,2012-09-24,64,64.0,64,64
Weekday,0,2012-09-25,64,64.0,64,64
Weekday,0,2012-09-26,40,40.0,40,40
Weekday,0,2012-09-27,65,65.0,65,65
Weekday,0,2012-09-28,17,17.0,17,17
Weekday,0,2012-10-01,45,45.0,45,45
Weekday,0,2012-10-02,31,31.0,31,31
Weekday,0,2012-10-03,52,52.0,52,52
Weekday,0,2012-10-04,76,76.0,76,76
Weekday,0,2012-10-05,102,102.0,102,102
Weekday,0,2012-10-08,51,51.0,51,51
Weekday,0,2012-10-09,31,31.0,31,31
Weekday,0,2012-10-10,33,33.0,33,33
Weekday,0,2012-10-11,42,42.0,42,42
Weekday,0,2012-10-12,68,68.0,68,68
Weekday,0,2012-10-15,48,48.0,48,48
Weekday,0,2012-10-16,48,48.0,48,48
Weekday,0,2012-10-17,49,49.0,49,49
Weekday,0,2012-10-18,57,57.0,57,57
Weekday,0,2012-10-19,56,56.0,56,56
Weekday,0,2012-10-22,31,31.0,31,31
Weekday,0,2012-10-23,37,37.0,37,37
Weekday,0,2012-10-24,46,46.0,46,46
Weekday,0,2012-10-25,76,76.0,76,76
Weekday,0,2012-10-26,71,71.0,71,71
Weekday,0,2012-10-29,22,22.0,22,22
Weekday,0,2012-10-31,16,16.0,16,16
Weekday,0,2012-11-01,60,60.0,60,60
Weekday,0,2012-11-02,50,50.0,50,50
Weekday,0,2012-11-05,23,23.0,23,23
Weekday,0,2012-11-06,19,19.0,19,19
Weekday,0,2012-11-07,283,283.0,283,283
Weekday,0,2012-11-08,15,15.0,15,15
Weekday,0,2012-11-09,55,55.0,55,55
Weekday,0,2012-11-12,49,49.0,49,49
Weekday,0,2012-11-13,23,23.0,23,23
Weekday,0,2012-11-14,24,24.0,24,24
Weekday,0,2012-11-15,34,34.0,34,34
Weekday,0,2012-11-16,65,65.0,65,65
Weekday,0,2012-11-19,27,27.0,27,27
Weekday,0,2012-11-20,29,29.0,29,29
Weekday,0,2012-11-21,26,26.0,26,26
Weekday,0,2012-11-22,46,46.0,46,46
Weekday,0,2012-11-23,32,32.0,32,32
Weekday,0,2012-11-26,23,23.0,23,23
Weekday,0,2012-11-27,26,26.0,26,26
Weekday,0,2012-11-28,23,23.0,23,23
Weekday,0,2012-11-29,29,29.0,29,29
Weekday,0,2012-11-30,52,52.0,52,52
Weekday,0,2012-12-03,21,21.0,21,21
Weekday,0,2012-12-04,55,55.0,55,55
Weekday,0,2012-12-05,37,37.0,37,37
Weekday,0,2012-12-06,44,44.0,44,44
Weekday,0,2012-12-07,48,48.0,48,48
Weekday,0,2012-12-10,20,20.0,20,20
Weekday,0,2012-12-11,31,31.0,31,31
Weekday,0,2012-12-12,34,34.0,34,34
Weekday,0,2012-12-13,32,32.0,32,32
Weekday,0,2012-12-14,47,47.0,47,47
Weekday,0,2012-12-17,28,28.0,28,28
Weekday,0,2012-12-18,18,18.0,18,18
Weekday,0,2012-12-19,41,41.0,41,41
Weekday,0,2012-12-20,42,42.0,42,42
Weekday,0,2012-12-21,17,17.0,17,17
Weekday,0,2012-12-24,12,12.0,12,12
Weekday,0,2012-12-25,13,13.0,13,13
Weekday,0,2012-12-26,9,9.0,9,9
Weekday,0,2012-12-27,3,3.0,3,3
Weekday,0,2012-12-28,25,25.0,25,25
Weekday,0,2012-12-31,34,34.0,34,34
Weekday,1,2011-01-03,2,2.0,2,2
Weekday,1,2011-01-04,2,2.0,2,2
Weekday,1,2011-01-05,6,6.0,6,6
Weekday,1,2011-01-06,4,4.0,4,4
Weekday,1,2011-01-07,7,7.0,7,7
Weekday,1,2011-01-10,1,1.0,1,1
Weekday,1,2011-01-11,3,3.0,3,3
Weekday,1,2011-01-12,6,6.0,6,6
Weekday,1,2011-01-13,2,2.0,2,2
Weekday,1,2011-01-14,5,5.0,5,5
Weekday,1,2011-01-17,16,16.0,16,16
Weekday,1,2011-01-19,7,7.0,7,7
Weekday,1,2011-01-20,5,5.0,5,5
Weekday,1,2011-01-21,6,6.0,6,6
Weekday,1,2011-01-24,1,1.0,1,1
Weekday,1,2011-01-25,5,5.0,5,5
Weekday,1,2011-01-26,5,5.0,5,5
Weekday,1,2011-01-28,3,3.0,3,3
Weekday,1,2011-01-31,7,7.0,7,7
Weekday,1,2011-02-01,3,3.0,3,3
Weekday,1,2011-02-02,3,3.0,3,3
Weekday,1,2011-02-03,5,5.0,5,5
Weekday,1,2011-02-04,7,7.0,7,7
Weekday,1,2011-02-07,5,5.0,5,5
Weekday,1,2011-02-08,4,4.0,4,4
Weekday,1,2011-02-09,7,7.0,7,7
Weekday,1,2011-02-10,7,7.0,7,7
Weekday,1,2011-02-11,7,7.0,7,7
Weekday,1,2011-02-14,7,7.0,7,7
Weekday,1,2011-02-15,5,5.0,5,5
Weekday,1,2011-02-16,9,9.0,9,9
Weekday,1,2011-02-17,6,6.0,6,6
Weekday,1,2011-02-18,8,8.0,8,8
Weekday,1,2011-02-21,13,13.0,13,13
Weekday,1,2011-02-23,4,4.0,4,4
Weekday,1,2011-02-24,7,7.0,7,7
Weekday,1,2011-02-25,10,10.0,10,10
Weekday,1,2011-02-28,8,8.0,8,8
Weekday,1,2011-03-01,3,3.0,3,3
Weekday,1,2011-03-02,4,4.0,4,4
Weekday,1,2011-03-03,1,1.0,1,1
Weekday,1,2011-03-04,4,4.0,4,4
Weekday,1,2011-03-07,2,2.0,2,2
Weekday,1,2011-03-08,4,4.0,4,4
Weekday,1,2011-03-09,4,4.0,4,4
Weekday,1,2011-03-10,2,2.0,2,2
Weekday,1,2011-03-11,8,8.0,8,8
Weekday,1,2011-03-14,1,1.0,1,1
Weekday,1,2011-03-15,10,10.0,10,10
Weekday,1,2011-03-16,3,3.0,3,3
Weekday,1,2011-03-17,12,12.0,12,12
Weekday,1,2011-03-18,16,16.0,16,16
Weekday,1,2011-03-21,7,7.0,7,7
Weekday,1,2011-03-22,19,19.0,19,19
Weekday,1,2011-03-23,7,7.0,7,7
Weekday,1,2011-03-24,3,3.0,3,3
Weekday,1,2011-03-25,5,5.0,5,5
Weekday,1,2011-03-28,6,6.0,6,6
Weekday,1,2011-03-29,4,4.0,4,4
Weekday,1,2011-03-30,10,10.0,10,10
Weekday,1,2011-03-31,5,5.0,5,5
Weekday,1,2011-04-01,4,4.0,4,4
Weekday,1,2011-04-04,11,11.0,11,11
